"RowID","StudyArea","CountDate","AgeSex","Count"
473,"A","02/05/1986, 00.00.00","AM",1
474,"A","02/05/1986, 00.00.00","AF",1
475,"A","02/05/1986, 00.00.00","JM",1
476,"A","26/09/1986, 00.00.00","AM",2
477,"A","26/09/1986, 00.00.00","AF",4
478,"A","26/09/1986, 00.00.00","BB",4
479,"A","26/09/1986, 00.00.00","JX",3
480,"A","26/09/1986, 00.00.00",,1
481,"A","08/10/1986, 00.00.00","AM",2
482,"A","08/10/1986, 00.00.00","AF",4
483,"A","08/10/1986, 00.00.00","JM",1
484,"A","08/10/1986, 00.00.00","JF",1
485,"A","08/10/1986, 00.00.00","BB",2
486,"A","08/10/1986, 00.00.00",,5
487,"A","16/10/1986, 00.00.00","AM",4
488,"A","16/10/1986, 00.00.00","AF",1
489,"A","16/10/1986, 00.00.00","BB",7
490,"A","16/10/1986, 00.00.00","JX",1
491,"A","16/10/1986, 00.00.00",,1
492,"A","05/11/1986, 00.00.00","AM",3
493,"A","05/11/1986, 00.00.00","BB",7
494,"A","27/11/1986, 00.00.00","AM",1
495,"A","27/11/1986, 00.00.00","AF",1
496,"A","27/11/1986, 00.00.00","BB",5
497,"A","27/11/1986, 00.00.00","JX",3
498,"A","27/11/1986, 00.00.00",,1
499,"A","16/12/1986, 00.00.00","AM",2
500,"A","16/12/1986, 00.00.00","AF",2
501,"A","16/12/1986, 00.00.00","BB",4
502,"A","16/12/1986, 00.00.00","JX",1
503,"A","16/12/1986, 00.00.00",,2
504,"A","08/01/1987, 00.00.00","AM",2
505,"A","08/01/1987, 00.00.00","BB",4
506,"A","08/01/1987, 00.00.00",,1
507,"A","19/01/1987, 00.00.00","AM",1
508,"A","19/01/1987, 00.00.00","AF",2
509,"A","19/01/1987, 00.00.00","BB",4
510,"A","27/01/1987, 00.00.00","AM",3
511,"A","27/01/1987, 00.00.00","AF",3
512,"A","27/01/1987, 00.00.00","BB",3
513,"A","27/01/1987, 00.00.00","JX",2
514,"A","27/01/1987, 00.00.00",,2
515,"A","06/02/1987, 00.00.00","AM",2
516,"A","06/02/1987, 00.00.00","BB",1
517,"A","06/02/1987, 00.00.00",,2
518,"A","17/02/1987, 00.00.00","AF",1
519,"A","17/02/1987, 00.00.00","BB",5
520,"A","17/02/1987, 00.00.00","JX",1
521,"A","17/02/1987, 00.00.00",,1
522,"A","20/02/1987, 00.00.00","AM",4
523,"A","20/02/1987, 00.00.00","AF",2
524,"A","20/02/1987, 00.00.00","BB",1
525,"A","10/03/1987, 00.00.00","AM",1
526,"A","10/03/1987, 00.00.00","AF",1
527,"A","10/03/1987, 00.00.00","JF",1
528,"A","10/03/1987, 00.00.00","BB",2
529,"A","10/03/1987, 00.00.00",,1
530,"A","12/03/1987, 00.00.00","AM",5
